	Document_No	Dominant_Topic	Topic_Perc_Contrib	Keywords	Text
3360	3360	4.0	0.1235	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	very nice good to say I like it very much love
3361	3361	2.0	0.1646	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	The amount of affordable housing included along with relative caps via rent control 
3362	3362	5.0	0.1916	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	I don't like proposals where for-profit companies domestic or international get to put up buildings without creating some kind of incentives for the neighborhood, either rent control or a significant (20%) of the space allocated for low rent tenants.  I also like ideas of mixing small business with apartments.
3363	3363	5.0	0.1356	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	For profit investors are worrisome because they are interested in maximizing profits. Presumably nonprofit financiers are interested in making more housing available, not in maximizing profits.
3364	3364	2.0	0.1324	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	effect on climate, affordable housing requirement, investor control
3365	3365	1.0	0.1046	climate, rent, important, cap, building, change, build, issue, neutral, mixed	I have concern about environmental issue
3366	3366	0.0	0.107	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	more density will bring greater benefits to all of us and will be better for the environnent as the use of mass transit intensifies
3367	3367	8.0	0.1324	area, high, environment, cost, pay, life, problem, space, quality, crime	The cost of living is so high as well as the population it needs to be controlled so that we don't have to live out of the area
3368	3368	0.0	0.1066	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	This project will work well.
3369	3369	9.0	0.1605	rent, control, factor, fair, landlord, grateful, form, key, district, maximum	I firmly believe in rent control so I chose proposals with rent control in them.
3370	3370	0.0	0.1087	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	i think its good
3371	3371	6.0	0.1048	community, favor, involvement, public, generally, increase, support, vote, low_income, offer	neighborhood pride equals control
3372	3372	9.0	0.1087	rent, control, factor, fair, landlord, grateful, form, key, district, maximum	very influential
3373	3373	0.0	0.1087	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	its good, i like it
3374	3374	0.0	0.1087	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	its good, i like it
3375	3375	3.0	0.1087	make, thing, development, idea, great, time, favour, densification, infrastructure, year	Hard to say I don't know
3376	3376	10.0	0.126	people, live, city, lot, family, place, price, house, bad, property	There needs to be rent control for everyone. Rents are too high and people can't afford to live in a one bedroom apartment.
3377	3377	0.0	0.0909	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	some I liked better than others
3378	3378	8.0	0.119	area, high, environment, cost, pay, life, problem, space, quality, crime	Fares should be controlled, but at a normal rate that is not high
3379	3379	10.0	0.1046	people, live, city, lot, family, place, price, house, bad, property	rent is already very expensive in my city. I dont think any of these proposals will help
3380	3380	10.0	0.1057	people, live, city, lot, family, place, price, house, bad, property	Both proposals are similar, but i'm more in favor of the proposal that includes zero rent increase for a certain time to give people a break from financial burdens and a chance to stabilize financially.
3381	3381	0.0	0.1027	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	I am actually having mixed emotions as I am confused with too much information. 
3382	3382	0.0	0.1259	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	I feel that it's good 
3383	3383	1.0	0.1235	climate, rent, important, cap, building, change, build, issue, neutral, mixed	favored ones that took climate into consideration
3384	3384	0.0	0.1169	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	I'd like to maintain the density in my community as is. When not possible to maintain, then it's important to consider the environment. 
3385	3385	1.0	0.1228	climate, rent, important, cap, building, change, build, issue, neutral, mixed	my most important factors were rent cap and population density
3386	3386	10.0	0.1235	people, live, city, lot, family, place, price, house, bad, property	I'm just very grateful to my city's neighbor
3387	3387	9.0	0.1248	rent, control, factor, fair, landlord, grateful, form, key, district, maximum	I feel strongly about rent control as rents are already too high
3388	3388	8.0	0.1872	area, high, environment, cost, pay, life, problem, space, quality, crime	LA is overcrowded. Traffic is overwhelming. Increasing population in one area will create even more traffic. Placing poorest people amongst more financially sound people will create crime
3389	3389	4.0	0.1087	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	If it benefits me or not
3390	3390	10.0	0.1526	people, live, city, lot, family, place, price, house, bad, property	were does all the city money go, the city does nothing in their city, all they do is give themselves raises
3391	3391	3.0	0.1087	make, thing, development, idea, great, time, favour, densification, infrastructure, year	it's great for me
3392	3392	0.0	0.1087	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	I go with what feels and looks right to me
3393	3393	5.0	0.1046	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	I'm a capitalist. Prefer no governmental involvement.
3394	3394	1.0	0.1207	climate, rent, important, cap, building, change, build, issue, neutral, mixed	Most important is to have everywhere rent control, the rates are extremely high and we don't need to go more up, this is insane 
3395	3395	2.0	0.119	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	Rent control and affordable housing are very important.
3396	3396	8.0	0.1259	area, high, environment, cost, pay, life, problem, space, quality, crime	It is very big unique way
3397	3397	8.0	0.1087	area, high, environment, cost, pay, life, problem, space, quality, crime	It is unique proposal
3398	3398	2.0	0.1285	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	limiting of affordable housing, density increases, and depending on the investor
3399	3399	3.0	0.1066	make, thing, development, idea, great, time, favour, densification, infrastructure, year	I think that some conditions are better than others
3400	3400	3.0	0.1066	make, thing, development, idea, great, time, favour, densification, infrastructure, year	I like everyone be rest and have a house with an easy way.
3401	3401	8.0	0.1024	area, high, environment, cost, pay, life, problem, space, quality, crime	In my sense of humor I can find this is how I think .
3402	3402	0.0	0.1022	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	very interesting
3403	3403	9.0	0.1143	rent, control, factor, fair, landlord, grateful, form, key, district, maximum	More in favor of small increase in residence and affordable housing with no raise in rent supported by international non profit representative with weather and council information publicly available to residents. 
3404	3404	6.0	0.1087	community, favor, involvement, public, generally, increase, support, vote, low_income, offer	they're just not in my favor.
3405	3405	7.0	0.1087	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	They look more reliable 
3406	3406	3.0	0.1212	make, thing, development, idea, great, time, favour, densification, infrastructure, year	Money. Things are pricier when they're in demand
3407	3407	7.0	0.1324	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	Generally, I support higher density housing, but only moderate increases.
3408	3408	4.0	0.1067	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	they give people a say a vote
3409	3409	0.0	0.1066	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	very nice and good
3410	3410	2.0	0.1044	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	Nothing special 
3411	3411	6.0	0.1407	community, favor, involvement, public, generally, increase, support, vote, low_income, offer	Would prefer to avoid international investors. The US has a very precarious balance at best and it would be best to avoid any additional future debtors. Also, it would seem somewhat reasonable to raise populations slowly and offer options to provide an environment which would foster familiarity and comfort of a microcosm within the workings of a macrocosm. 
3412	3412	9.0	0.1171	rent, control, factor, fair, landlord, grateful, form, key, district, maximum	I was not keen on the proposals that did not have rent control And the ones I didn't have zoning
3413	3413	6.0	0.1066	community, favor, involvement, public, generally, increase, support, vote, low_income, offer	Seemed to better serve the people 
3414	3414	0.0	0.1046	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	it is really all that good people should beware
3415	3415	0.0	0.1235	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	It depends on the fairness of all involved
3416	3416	7.0	0.1087	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	want less density
3417	3417	2.0	0.1148	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	Housing prices are too high for the average human in Los Angeles and there needs to be some availability for them
3418	3418	10.0	0.1259	people, live, city, lot, family, place, price, house, bad, property	It will be more safety for the city
3419	3419	4.0	0.1087	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	Because the benefits are different 
3420	3420	8.0	0.1066	area, high, environment, cost, pay, life, problem, space, quality, crime	all about property value. The more dense the less value
3421	3421	9.0	0.1237	rent, control, factor, fair, landlord, grateful, form, key, district, maximum	I looked at rent control for all proposals 
3422	3422	9.0	0.1216	rent, control, factor, fair, landlord, grateful, form, key, district, maximum	Need rent-control available to all!
3423	3423	9.0	0.1421	rent, control, factor, fair, landlord, grateful, form, key, district, maximum	I am in favor of limited rent control but not 0% rent raises in the long term
3424	3424	2.0	0.1087	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	THE PROPOSAL I ACCEPTED WERE FAR BETTER THAN PROPOSAL 1
3425	3425	0.0	0.0909	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	I like its very much
3426	3426	0.0	0.0909	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	I like its very much
3427	3427	2.0	0.1422	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	We desperately need more upscale and higher worth residents in Korea Town, I am tired of the graffiti, dumped garbage on streets and curbs, and loitering outside of retail establishments. 
3428	3428	7.0	0.1308	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	prefer rent control, minimal density increase
3429	3429	9.0	0.1192	rent, control, factor, fair, landlord, grateful, form, key, district, maximum	Rent control at no more than 5%. No more than 20% added population.
3430	3430	1.0	0.1235	climate, rent, important, cap, building, change, build, issue, neutral, mixed	Climate and mixed development 
3431	3431	0.0	0.1066	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	I like the last comparison
3432	3432	0.0	0.1087	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	It was very good
3433	3433	3.0	0.1087	make, thing, development, idea, great, time, favour, densification, infrastructure, year	more information
3434	3434	7.0	0.1066	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	population makeup
3435	3435	4.0	0.1369	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	Because I weighed both sides of the issue, from landlords and resident side. Prices are sky high here and it very crowded as it is
3436	3436	3.0	0.1216	make, thing, development, idea, great, time, favour, densification, infrastructure, year	Certain things are more appealing 
3437	3437	0.0	0.1046	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	I thought the proposals I chose would work better for the community.
3438	3438	6.0	0.1066	community, favor, involvement, public, generally, increase, support, vote, low_income, offer	because it will help to diversify the community of LA
3439	3439	10.0	0.119	people, live, city, lot, family, place, price, house, bad, property	What ever makes sense for people to live happily
3440	3440	5.0	0.1214	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	it looks good enough and looks very neat and clean
3441	3441	9.0	0.1285	rent, control, factor, fair, landlord, grateful, form, key, district, maximum	I wanted the rent control to be fair and not bring in too many more people. liked the business included.
3442	3442	9.0	0.1237	rent, control, factor, fair, landlord, grateful, form, key, district, maximum	Rents should be controled
3443	3443	3.0	0.1517	make, thing, development, idea, great, time, favour, densification, infrastructure, year	There is definitely a need to provide affordable housing in LA.  Section 8 housing opened up 2 years ago after having no new infrastructure resources in more than 10 years.  Housing is getting as expensive as living in Manhattan, NY ... thus forcing multiple families to have to live in one space.
3444	3444	5.0	0.1212	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	do not want more traffic in area and for profit investors 
3445	3445	8.0	0.1222	area, high, environment, cost, pay, life, problem, space, quality, crime	There has to be rent control and affirdable housing.  I would rather not have 100% increase due to traffic already being an issue in this town.
3446	3446	7.0	0.1268	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	rent increase, I will always favor lower rent increase
3447	3447	7.0	0.1235	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	I'm strongly in favor of rent control, inclusionary housing, resident involvement, net-zero emissions and density increase.  Mixed use is fine for our neighborhood.
3448	3448	8.0	0.1301	area, high, environment, cost, pay, life, problem, space, quality, crime	Everytime new projects are built it causes increase in traffic, outsiders coming in who dont care about this area.
3449	3449	7.0	0.109	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	The amount of people which increased;  Climate conscious; increase in rent
3450	3450	9.0	0.1263	rent, control, factor, fair, landlord, grateful, form, key, district, maximum	I am more in favor of mixed use projects that increase density by 20-50% and have some form of rent control.
3451	3451	2.0	0.1506	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	Not enough affordable housing in any of the proposals. Any proposal must be non profit, environmentally sound, and affordable.
3452	3452	2.0	0.1212	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	I am a senior citizen, I need affordable housing
3453	3453	9.0	0.115	rent, control, factor, fair, landlord, grateful, form, key, district, maximum	Because it's good rent control, we shouldn't have so many apartments, get too expensive
3454	3454	5.0	0.1087	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	I like my apartment as is
3455	3455	7.0	0.119	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	I care more about rent control and inclusionary zoning
3456	3456	7.0	0.1192	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	I was against certain proposals if they increased the population by too much or raised rents too much
3457	3457	5.0	0.1222	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	For profit investors (national or international) tend to jack up the rents. Too much development is not good for the overall wellbeing of the area. 
3458	3458	10.0	0.1352	people, live, city, lot, family, place, price, house, bad, property	Los Angeles needs less people, not more, to improve the quality of life
3459	3459	3.0	0.1169	make, thing, development, idea, great, time, favour, densification, infrastructure, year	I am a senior on a limited income and I choose my living arrangements
3460	3460	2.0	0.1235	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	we need more affordable housing in Los Angeles
3461	3461	5.0	0.1008	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	thanks for bringing the subject of densification to eco control
3462	3462	0.0	0.1066	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	Out neighborhood is maxed out.
3463	3463	9.0	0.1171	rent, control, factor, fair, landlord, grateful, form, key, district, maximum	I am more in favor of proposals that have rent control and less density.
3464	3464	2.0	0.1787	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	Mainly because I would only vote for housing developments that have rent control, affordable housing requirements, and take into account carbon emissions and the carbon footprint of the building. 
3465	3465	7.0	0.1151	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	Lower cost; less density
3466	3466	5.0	0.1235	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	less crowds, national investors
3467	3467	10.0	0.1212	people, live, city, lot, family, place, price, house, bad, property	Not a fan of foreign investors. When removed from area, then the environmental impact of increased people, traffic, vehicles, foot traffic with fixed resources, is not a priority. People who live in the area must be able to have input. Rent needs to be capped and housing needs to be affordable given that minimum wage is not yet $15
3468	3468	10.0	0.1066	people, live, city, lot, family, place, price, house, bad, property	Fairness of the proposals to the people
3469	3469	3.0	0.1259	make, thing, development, idea, great, time, favour, densification, infrastructure, year	I have my own ideas, the way of thinking about some things 
3470	3470	7.0	0.1129	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	I think we need to have apartments and stores and hopefully keep rent increases low.
3471	3471	9.0	0.1169	rent, control, factor, fair, landlord, grateful, form, key, district, maximum	I know landlords have to keep property up and assume with small rent increase they would do that
3472	3472	7.0	0.1149	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	I considered the cap for rent increase, investors involved & the zoning
3473	3473	8.0	0.1372	area, high, environment, cost, pay, life, problem, space, quality, crime	I want to minimze the growth the area gets too crowded and traffic becomes a problem
3474	3474	1.0	0.1312	climate, rent, important, cap, building, change, build, issue, neutral, mixed	Climate neutral is very important to me. Rent control and affordable housing are also important. I would rather see a non-profit agency in charge. Residents should have a say. This area can not afford to have population increased by 50% or more.
3475	3475	7.0	0.1424	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	density increase is not acceptable
3476	3476	9.0	0.1222	rent, control, factor, fair, landlord, grateful, form, key, district, maximum	No cap rent control leads to gouging rent prices and increased traffic 
3477	3477	1.0	0.125	climate, rent, important, cap, building, change, build, issue, neutral, mixed	"Development in Hollywood is running rampant.  Low income households are being squeezed out by ""gentrification"".  Even if new development includes low income housing, it is NOT ENOUGH.  Too many people are being displaced by the new luxury buildings popping up everywhere.  Which I believe are a waste because a lot of these new luxury buildings are sitting empty or at least not even half way filled and in the meantime, low income households can no longer afford to live here."
3478	3478	4.0	0.1259	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	I decided with certain proposals because I agreed with them
3479	3479	9.0	0.1193	rent, control, factor, fair, landlord, grateful, form, key, district, maximum	rent control is important
3480	3480	7.0	0.117	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	don't want to increase density, don't like mixed use, like rent control
3481	3481	5.0	0.1088	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	I don't want government involvement 
3482	3482	9.0	0.1343	rent, control, factor, fair, landlord, grateful, form, key, district, maximum	Number one I don't like no rent control, and I'd rather have a 5% rent increase than a 10% rent increase
3483	3483	7.0	0.1403	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	increase population density not more than 20%
3484	3484	7.0	0.1066	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	I have no comment 
3485	3485	10.0	0.1851	people, live, city, lot, family, place, price, house, bad, property	I have had issues with the government regarding a condominium built behind my house and we were totally ignored when it was being built. I bought my house as a single family home. I do not believe in garage conversion and influx of people into my neighborhood. this is ridiculous and disregards homeowners who live and pay taxes
3486	3486	4.0	0.1087	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	Chose proposal 1
3487	3487	8.0	0.1066	area, high, environment, cost, pay, life, problem, space, quality, crime	I leave in the area I know what's needed
3488	3488	7.0	0.1169	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	Increased density without dealing with traffic issues is a non starter 
3489	3489	2.0	0.119	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	Based on rent control and affordable housing 
3490	3490	1.0	0.1258	climate, rent, important, cap, building, change, build, issue, neutral, mixed	Would want rent control, growth at 20%, climate considerations, more affordable units, community inclusion and voting.
3491	3491	10.0	0.1349	people, live, city, lot, family, place, price, house, bad, property	I am against rent costs going up like they were before Covid. I am also worried about being kicked out of house if owner decides to sell. I would like government housing but want it to be cared for and no drugs or bad people allowed. 
3492	3492	10.0	0.1332	people, live, city, lot, family, place, price, house, bad, property	There is little enough family homes.  Already heavy traffic.  The City Council is actively preventing crime mitigation and prevention.  We simply can not afford higher density here on the West side
3493	3493	2.0	0.1148	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	Affordable housing is a necessity in Los Angeles. It should have been implemented years ago.
3494	3494	0.0	0.1066	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	Good for community
3495	3495	4.0	0.1022	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	Look at all aspects
3496	3496	5.0	0.1424	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	Prefer National investors; 
3497	3497	10.0	0.1526	people, live, city, lot, family, place, price, house, bad, property	A lot of people want to live in Los Angeles. plan neighborhoods
3498	3498	7.0	0.1109	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	I'm for low density 5% cap
3499	3499	5.0	0.1237	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	Eco-friendly, rent control, minimum density, inclusion and mixed-use and non-profit national investors are key components
3500	3500	5.0	0.1109	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	Rent control is an absolute necessity. I will also not ever favor international investors in land and property. 
3501	3501	5.0	0.1591	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	No international investors.  Mixed use preferred.  Low rent cap.  20% affordable units included.
3502	3502	2.0	0.1169	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	I agree with affordable housing for all people and I also think that it shouldn't be a government decision alone for something like this.
3503	3503	1.0	0.1228	climate, rent, important, cap, building, change, build, issue, neutral, mixed	Rent control not an issue. police are the biggest issue
3504	3504	7.0	0.1259	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	Mostly because of the population increase
3505	3505	6.0	0.1067	community, favor, involvement, public, generally, increase, support, vote, low_income, offer	I believe that growth is inevitable and would prefer to have a say in what goes up
3506	3506	3.0	0.1087	make, thing, development, idea, great, time, favour, densification, infrastructure, year	Just want things to get better.
3507	3507	5.0	0.1169	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	prefer less increased density.  prefer rent control.
3508	3508	7.0	0.1168	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	My parameters were the least population expansion/density and the implementation of rent control.
3509	3509	2.0	0.1044	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	Because one of them had no limit.
3510	3510	5.0	0.1352	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	I am against the mix of businesses, apartments and the rent increase.
3511	3511	4.0	0.1066	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	Densities and planning 
3512	3512	2.0	0.123	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	I believe in rent control and expansion of affordable housing
3513	3513	8.0	0.1146	area, high, environment, cost, pay, life, problem, space, quality, crime	my neighborhood has too many people living in it as it is!  doubling the population would make it unbearable!  and there is absolutely NO PARKING!  there is NOWHERE for more cars to go!
3514	3514	2.0	0.1212	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	No more than 20% additional density, no less than 20% affordable, net zero emissions
3515	3515	8.0	0.1301	area, high, environment, cost, pay, life, problem, space, quality, crime	Los Angeles is already overcrowded, so to increase housing would make the quality of life worse
3516	3516	0.0	0.1087	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	I always go for the first choice
3517	3517	7.0	0.1259	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	Density increase
3518	3518	8.0	0.1148	area, high, environment, cost, pay, life, problem, space, quality, crime	The population density has already expanded beyond what the traffic can handle. There is no change in infrastructure, just more apartments
3519	3519	4.0	0.1148	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	proposals that have cafe near apartemnts tend to increase rent which causes low income residents to move out
3520	3520	4.0	0.1424	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	Chose the ones where residents participated 
3521	3521	3.0	0.1087	make, thing, development, idea, great, time, favour, densification, infrastructure, year	I have no ideas about this
3522	3522	2.0	0.1027	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	Because rents are high enough here and I am on fixed income 
3523	3523	5.0	0.1148	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	like some rent control, some growth in population, mixed use, and a not unknown investor
3524	3524	1.0	0.117	climate, rent, important, cap, building, change, build, issue, neutral, mixed	I liked rent control and mixed usage apartments.
3525	3525	9.0	0.1235	rent, control, factor, fair, landlord, grateful, form, key, district, maximum	There should be rent control for Los Angeles
3526	3526	9.0	0.1235	rent, control, factor, fair, landlord, grateful, form, key, district, maximum	The rent control issue
3527	3527	9.0	0.1221	rent, control, factor, fair, landlord, grateful, form, key, district, maximum	When there is no rent control I feel occupants rent can increase over time to the point of it becoming unaffordable to live there
3528	3528	0.0	0.1046	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	I think we could use more investments in our neighborhood however it is achieved
3529	3529	8.0	0.1169	area, high, environment, cost, pay, life, problem, space, quality, crime	I don't really want my area to increase in density, and having to pay more rent at the same time.
3530	3530	5.0	0.1212	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	don't like mixed use, prefer lower density
3531	3531	0.0	0.0909	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	Most are not that different either way
3532	3532	5.0	0.1971	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	I'm much against mixing apartment housing with small craft business. Do not want foreign investors
3533	3533	0.0	0.0909	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	I dont like them
3534	3534	9.0	0.1216	rent, control, factor, fair, landlord, grateful, form, key, district, maximum	We all need rent control
3535	3535	6.0	0.1066	community, favor, involvement, public, generally, increase, support, vote, low_income, offer	Not enough people to vote 
3536	3536	3.0	0.1372	make, thing, development, idea, great, time, favour, densification, infrastructure, year	Well right now things are just not right, too many people are homeless these are hard times
3537	3537	6.0	0.1235	community, favor, involvement, public, generally, increase, support, vote, low_income, offer	The involvement of citizens is important
3538	3538	1.0	0.1187	climate, rent, important, cap, building, change, build, issue, neutral, mixed	I took into consideration the rent caps,  percent increase in densification. Some proposals I think are too high
3539	3539	1.0	0.1087	climate, rent, important, cap, building, change, build, issue, neutral, mixed	Because needed change
3540	3540	5.0	0.1149	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	well I don't like the fact the government is all up in the business of the people especially when it come to the housing industry
3541	3541	3.0	0.1087	make, thing, development, idea, great, time, favour, densification, infrastructure, year	Everything seems great
3542	3542	4.0	0.1066	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	Overall proposal 1 is the most fair for all involved
3543	3543	0.0	0.0909	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	I didnt even know what was going on
3544	3544	0.0	0.1066	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	Neighborhoods should have free will
3545	3545	6.0	0.1067	community, favor, involvement, public, generally, increase, support, vote, low_income, offer	I mainly preferred proposals where residents could have a say in what goes on in their community
3546	3546	3.0	0.1066	make, thing, development, idea, great, time, favour, densification, infrastructure, year	I am happy the way things are 
3547	3547	7.0	0.1308	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	In favor of increasing population density and more affordable housing 
3548	3548	0.0	0.0909	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	I don't know right now 
3549	3549	3.0	0.1087	make, thing, development, idea, great, time, favour, densification, infrastructure, year	It is hard for everyone 
3550	3550	3.0	0.1067	make, thing, development, idea, great, time, favour, densification, infrastructure, year	I just don't like some of the things mentioned in all the proposals, even the ones I did accept.
3551	3551	10.0	0.1212	people, live, city, lot, family, place, price, house, bad, property	Higher rent better homes  and neighbors 
3552	3552	0.0	0.1235	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	In comparison to the other proposals I feel like mostly the second proposals fit with what I would want other than that I do not like most of what's in the proposals
3553	3553	5.0	0.1168	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	Being a black I am definitely discriminated. I believe rent should realistic. Remember pigs get slaughtered. 
3554	3554	3.0	0.1089	make, thing, development, idea, great, time, favour, densification, infrastructure, year	The project has a great usage for the neighborhood 
3555	3555	7.0	0.1237	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	Against increased density at 50%.
3556	3556	0.0	0.1066	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	It is very good questions. 
3557	3557	3.0	0.1008	make, thing, development, idea, great, time, favour, densification, infrastructure, year	The more desirable is lower densification with no foreign involvement. 
3558	3558	0.0	0.1087	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	Some would help our neighborhood more than others
3559	3559	0.0	0.1066	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	I like the building and diversity
3560	3560	1.0	0.1066	climate, rent, important, cap, building, change, build, issue, neutral, mixed	I don't like change which is the unknown
3561	3561	3.0	0.1045	make, thing, development, idea, great, time, favour, densification, infrastructure, year	Undecided. Need more information 
3562	3562	9.0	0.117	rent, control, factor, fair, landlord, grateful, form, key, district, maximum	Rent control would help stabilize housing costs.
3563	3563	4.0	0.1397	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	I chose the proposals I decided because it seemed to have a better insight and view.
3564	3564	6.0	0.1087	community, favor, involvement, public, generally, increase, support, vote, low_income, offer	I done with questions
3565	3565	2.0	0.1304	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	My way is most definitely affordable and I wanna have for a while so the rent cap was a hit a spot on the dot
3566	3566	0.0	0.1169	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	I saw very good reasons, but what drew me in is increasing the group of people.
3567	3567	2.0	0.1044	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	I like the way that it sounded
3568	3568	6.0	0.1066	community, favor, involvement, public, generally, increase, support, vote, low_income, offer	Nothing comes to my mind at this moment
